benchmark,smt,event,duration,result
GUAVA-260_1,smt-183,solve,11,SAT
GUAVA-260_1,smt-460,check,0,false
GUAVA-260_1,smt-460,solve,8,SAT
GUAVA-260_1,smt-327,check,0,false
GUAVA-78_1,smt-87,solve,114,SAT
GUAVA-260_1,smt-327,solve,18,SAT
GUAVA-260_1,smt-332,check,0,false
GUAVA-78_1,smt-158,check,0,false
GUAVA-260_1,smt-332,solve,10,UNSAT
GUAVA-260_1,smt-332,update,1,
GUAVA-260_1,smt-199,check,0,false
GUAVA-260_1,smt-199,solve,16,SAT
GUAVA-260_1,smt-313,check,0,false
FASTJSON-39_1,smt-32,solve,995,SAT
GUAVA-260_1,smt-313,solve,8,UNSAT
GUAVA-260_1,smt-313,update,1,
GUAVA-260_1,smt-127,check,0,false
GUAVA-260_1,smt-127,solve,7,UNSAT
GUAVA-260_1,smt-127,update,1,
FASTJSON-104_1,smt-87,solve,5003,UNKNOWN
FASTJSON-39_1,smt-30,check,0,false
GUAVA-260_1,smt-469,check,0,false
FASTJSON-104_1,smt-31,check,0,false
GUAVA-260_1,smt-469,solve,7,UNSAT
GUAVA-260_1,smt-469,update,1,
GUAVA-260_1,smt-391,check,0,false
FASTJSON-104_1,smt-31,solve,6,SAT
SPOON-151_1,smt-517,solve,668,SAT
FASTJSON-104_1,smt-89,check,0,false
SPOON-151_1,smt-997,check,1,true
SPOON-151_1,smt-900,check,3,false
GUAVA-260_1,smt-391,solve,75,UNSAT
GUAVA-260_1,smt-391,update,0,
GUAVA-260_1,smt-468,check,0,false
GUAVA-260_1,smt-468,solve,17,UNSAT
GUAVA-260_1,smt-468,update,0,
GUAVA-260_1,smt-24,check,0,false
GUAVA-260_1,smt-24,solve,5,SAT
GUAVA-260_1,smt-36,check,0,false
GUAVA-260_1,smt-36,solve,7,SAT
GUAVA-260_1,smt-207,check,0,false
GUAVA-260_1,smt-207,solve,17,UNSAT
GUAVA-260_1,smt-207,update,0,
GUAVA-260_1,smt-419,check,0,false
FASTJSON-104_1,smt-89,solve,153,UNSAT
FASTJSON-104_1,smt-89,update,0,
GUAVA-260_1,smt-419,solve,8,UNSAT
GUAVA-260_1,smt-419,update,0,
GUAVA-260_1,smt-76,check,0,false
FASTJSON-104_1,smt-53,check,0,false
GUAVA-260_1,smt-76,solve,11,SAT
GUAVA-260_1,smt-315,check,0,false
GUAVA-78_1,smt-158,solve,1060,UNSAT
GUAVA-78_1,smt-158,update,0,
GUAVA-260_1,smt-315,solve,16,UNSAT
GUAVA-260_1,smt-315,update,0,
GUAVA-260_1,smt-345,check,0,false
SPOON-151_1,smt-900,solve,245,UNSAT
SPOON-151_1,smt-900,update,0,
GUAVA-78_1,smt-31,check,0,false
GUAVA-78_1,smt-31,solve,3,SAT
GUAVA-78_1,smt-89,check,0,false
GUAVA-260_1,smt-345,solve,13,UNSAT
GUAVA-260_1,smt-345,update,1,
SPOON-151_1,smt-1036,check,0,false
GUAVA-260_1,smt-472,check,0,false
GUAVA-260_1,smt-472,solve,6,UNSAT
GUAVA-260_1,smt-472,update,0,
GUAVA-260_1,smt-97,check,0,false
FASTJSON-39_1,smt-30,solve,1119,SAT
GUAVA-260_1,smt-97,solve,7,SAT
GUAVA-260_1,smt-337,check,0,false
SPOON-151_1,smt-1036,solve,43,UNSAT
SPOON-151_1,smt-1036,update,0,
GUAVA-78_1,smt-89,solve,112,SAT
SPOON-151_1,smt-362,check,0,false
